 Subj,#,Title,Comp Numb,Sec,Instructor
ABIO,6020,ABIO Graduate Seminar,14772,A,"Kraft, Jana "
ABIO,6090,One Health: Zoonoses,15792,OL1,"Eidson, Millicent E"
ABIO,6391,Master's Thesis Research,14766,A,"Kraft, Jana "
ABIO,6391,Master's Thesis Research,14767,B,"Barlow, John William"
ABIO,6391,Master's Thesis Research,14768,C,"Smith, Julie M"
ABIO,6391,Master's Thesis Research,14769,D,"Zhao, Feng-Qi "
ABIO,6391,Master's Thesis Research,14770,E,"Guo, Ming Ruo"
ABIO,6391,Master's Thesis Research,14771,F,"Cardoso Costa, Joao H"
ABIO,6391,Master's Thesis Research,16059,G,"Nallasamy, Shanmugasundaram "
ABIO,6391,Master's Thesis Research,16060,H,"Etter, Andrea J"
ABIO,6993,Independent Study,15915,A,"Kraft, Jana "
ABIO,7491,Doctoral Dissertation Research,14418,A,"Kraft, Jana "
ABIO,7491,Doctoral Dissertation Research,14419,B,"Barlow, John William"
ABIO,7491,Doctoral Dissertation Research,14764,C,"Cardoso Costa, Joao H"
ABIO,7491,Doctoral Dissertation Research,14422,D,"Smith, Julie M"
ABIO,7491,Doctoral Dissertation Research,14423,E,"Zhao, Feng-Qi "
ABIO,7491,Doctoral Dissertation Research,14460,F,"Guo, Ming Ruo"
ABIO,7491,Doctoral Dissertation Research,16061,G,"Nallasamy, Shanmugasundaram "
ABIO,7491,Doctoral Dissertation Research,16062,H,"Etter, Andrea J"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10284,A,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10284,A,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10284,A,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10284,A,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10660,B,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10660,B,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10660,B,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10660,B,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10702,ZRA,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10702,ZRA,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10702,ZRA,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10702,ZRA,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10704,ZRB,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10704,ZRB,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10704,ZRB,"Black, Ellen Elizabeth"
ANPS,1200,Ugr Hum Anatomy & Physiology 2,10704,ZRB,"Black, Ellen Elizabeth"
ANPS,2994,Teaching Assistantship,13731,A,"Black, Ellen Elizabeth"
ANTH,1020,LASP:Human Landscape Interact,15506,A,"Brouwer Burg, Marieka "
ANTH,1100,Cultural Anthropology,10855,A,"Kozelka, Ellen E"
ANTH,1100,Cultural Anthropology,13383,B,"Brasdefer, Thomas "
ANTH,1600,Linguistic Anthropology,14774,A,"Brasdefer, Thomas "
ANTH,1800,Prehistoric Archaeology,12284,A,"Crock, John Gordon"
ANTH,1990,Ruins,14776,B,"Van Keuren, Scott "
ANTH,1990,Religion  Health  & Healing,15816,C,"Brennan, Vicki Laine"
ANTH,2000,Introduction to the Major,11684,A,"Brouwer Burg, Marieka "
ANTH,2110,Ethnographies of Religion,15817,A,"Brennan, Vicki Laine"
ANTH,2152,Environmental Anthropology,14780,A,"Vivanco, Luis Antonio"
ANTH,2170,Culture  Health and Healing,15174,OL1,"Bailey, Kathryn "
ANTH,2191,Foundations of Global Health,15675,A,"Barclay-Derman, Noah David"
ANTH,2191,Foundations of Global Health,15674,OL1,"Maltby, Hendrika J"
ANTH,2205,Gender Sex Race & the Body,14779,A,"Blom, Deborah Eileen"
ANTH,2220,Political Anthropology,14778,A,"Brasdefer, Thomas "
ANTH,2810,Archaeology of Latin America,14781,A,"Garcia, Jorge Luis"
ANTH,2810,Anthropological Appl of GIS,14777,B,"Brouwer Burg, Marieka "
ANTH,2991,Internship,14807,A,"Vivanco, Luis Antonio"
ANTH,2993,Independent Study,14808,A,"Vivanco, Luis Antonio"
ANTH,2994,Teaching Assistantship,14809,A,"Vivanco, Luis Antonio"
ANTH,2995,Undergraduate Research,14811,A,"Vivanco, Luis Antonio"
ANTH,3130,Ethnographic Field Methods,13752,A,"Mares, Teresa "
ANTH,3560,Human Osteology,14783,A,"Blom, Deborah Eileen"
ANTH,3560,Human Osteology,14783,A,"Blom, Deborah Eileen"
ANTH,3820,Archaeological Theory,14782,A,"Van Keuren, Scott "
ANTH,3990,Migration and Borders,15668,A,"Mares, Teresa "
ANTH,4991,Internship,12076,A,"Vivanco, Luis Antonio"
ANTH,4993,Independent Study,12075,A,"Vivanco, Luis Antonio"
ANTH,4995,Undergraduate Research,14633,A,"Vivanco, Luis Antonio"
ANTH,4996,Honors,10227,A,"Vivanco, Luis Antonio"
ARTH,1020,LASP:Arts of Conflicts/Revol,15560,L,"Richter, Sarah D"
ARTH,1410,Art History I,10451,A,"DeLuca, Dominique "
ARTH,1420,Art History II,12919,A,"Richter, Sarah D"
ARTH,2100,Art & the Ancient Silk Road,15680,A,"Mierse, William Edwin"
ARTH,2100,Roman Art,15681,B,"Mierse, William Edwin"
ARTH,2200,Global Middle Ages,15185,A,"DeLuca, Dominique "
ARTH,2600,Contemporary East Asian Art,15188,A,"Choi, Sooran "
ARTH,2885,African-American Art,15654,A,"Richter, Sarah D"
ARTH,3000,Global Avant Garde,13403,A,"Choi, Sooran "
ARTH,3991,Internship,15701,A,"Fraser, Pamela Lynn"
ARTH,3991,CL:IS:Campus Art Projects,15702,B,"Helmstutler-Di Dio, Kelley "
ARTH,3993,Independent Study,12709,A,"Fraser, Pamela Lynn"
ARTH,3995,Undergraduate Research,16077,A,"Fraser, Pamela Lynn"
ARTH,4994,Teaching Assistantship,15556,A,"Fraser, Pamela Lynn"
ARTH,4996,Honors,10229,A,"Fraser, Pamela Lynn"
ARTS,1100,Drawing,14119,A,"Mayhew, Jaimes "
ARTS,1100,Drawing,14120,B,"Mayhew, Jaimes "
ARTS,1100,Drawing,14121,C,"Mayhew, Jaimes "
ARTS,1100,Drawing,14122,D,"Bang, Elisa Misoo"
ARTS,1100,Drawing,14123,E,"Bang, Elisa Misoo"
ARTS,1100,Drawing,14124,F,"Bang, Elisa Misoo"
ARTS,1400,Perspectives on Art Making,15192,A,"Mayhew, Jaimes "
ARTS,1400,Perspectives on Art Making,14126,B,"Berger, Jennifer "
ARTS,1400,Perspectives on Art Making,14127,C,"Berger, Jennifer "
ARTS,1400,Perspectives on Art Making,14129,D,"Hughes, Kristy J"
ARTS,1400,Perspectives on Art Making,14130,E,"Berger, Jennifer "
ARTS,1400,Perspectives on Art Making,15195,F,"Kojzar, Christopher G"
ARTS,1400,Perspectives on Art Making,15198,G,"Bang, Elisa Misoo"
ARTS,2030,Counter-Memory as Art,15203,A,"Gupit, Nicolei Buendia"
ARTS,2030,Multi-Media Documentary,15349,B,"Elrick, Andrew Alan"
ARTS,2040,Gesamtkunstwerk from Scratch,15204,A,"Wallner, Heimo "
ARTS,2040,Making Artist Books,15206,B,"White, Erika R."
ARTS,2110,Experimental Drawing,15208,A,"Wallner, Heimo "
ARTS,2210,Painting: Observation & Image,13405,A,"Wood, Micah S"
ARTS,2210,Painting: Observation & Image,13406,B,"Wood, Micah S"
ARTS,2220,Painting: Color and Invention,12416,A,"Hughes, Kristy J"
ARTS,2220,Painting: Color and Invention,14402,B,"Budington, Steve W"
ARTS,2300,Printmaking,15676,A,"Kent, Jane R."
ARTS,2310,Printmaking: Etching,15213,A,"Kent, Jane R."
ARTS,2410,Graphic Design,15215,B,"Siddle, John "
ARTS,2510,Photography,10091,A,"McDowell, William B."
ARTS,2520,Color Photography,12954,A,"Bull, Nicole Christine"
ARTS,2520,Color Photography,13408,B,"Bull, Nicole Christine"
ARTS,2600,2D/3D Digital Media & Design,15219,A,"Kojzar, Christopher G"
ARTS,2710,Clay: Hand Building,10522,A,"Barringer, Hoyt "
ARTS,2720,Clay: Wheel Throwing,10090,A,"Barringer, Hoyt "
ARTS,2720,Clay: Wheel Throwing,15655,B,"Barringer, Hoyt "
ARTS,2750,Sculpture,10805,A,"Hughes, Kristy J"
ARTS,2990,Art & Intelligent Machines,15977,B,"Karson, Jennifer Lyn"
ARTS,3200,Projects in Painting,10143,A,"Budington, Steve W"
ARTS,3500,Advanced Photography,10144,A,"McDowell, William B."
ARTS,3910,CL:Community-Engaged Arts,15222,A,"Berger, Jennifer "
ARTS,3990,Art & Intelligent Machines,15656,A,"Karson, Jennifer Lyn"
ARTS,3991,Internship,15666,A,"Fraser, Pamela Lynn"
ARTS,3993,Independent Study,12446,A,"Fraser, Pamela Lynn"
ARTS,3995,Undergraduate Research,15667,A,"Fraser, Pamela Lynn"
ARTS,4870,Current Issues in Art Ed,13410,A,"Bradshaw, Julian "
ARTS,4881,Internship: Student Teaching,15683,A,"White, Erika R."
ARTS,4994,Teaching Assistantship,15557,A,"Fraser, Pamela Lynn"
ARTS,4996,Honors,10228,A,"Fraser, Pamela Lynn"
ASCI,1000,Introductory Animal Sciences,12755,A,"Maucieri, Abigail M"
ASCI,1000,Introductory Animal Sciences,12755,A,"Maucieri, Abigail M"
ASCI,1000,Introductory Animal Sciences,13486,B,"Maucieri, Abigail M"
ASCI,1000,Introductory Animal Sciences,13486,B,"Maucieri, Abigail M"
ASCI,1000,Introductory Animal Sciences,12757,L01,"Maucieri, Abigail M"
ASCI,1000,Introductory Animal Sciences,12758,L02,"Maucieri, Abigail M"
ASCI,1000,Introductory Animal Sciences,14047,L03,"Maucieri, Abigail M"
ASCI,1040,Intro to Animal Nutrition,12756,A,"Kraft, Jana "
ASCI,1100,The World of Working Animals,14738,OL1,"Jones, Krista L"
ASCI,1400,Intro to the Horse,12501,OL1,"Rohan, Christina Kaplan"
ASCI,1400,Intro to the Horse,12502,OLR,"Rohan, Christina Kaplan"
ASCI,1450,Horse Barn Cooperative,12143,A,"Rohan, Christina Kaplan"
ASCI,1510,Understanding & Speaking Dog,15264,A,"Platzer, JoAnna M"
ASCI,1990,Special Topics,14758,A,"Vigoreaux, Jim Osvaldo"
ASCI,1991,Internship,12759,A,"Maucieri, Abigail M"
ASCI,1993,Independent Study,13061,A,"Vigoreaux, Jim Osvaldo"
ASCI,2120,General Physiology,13062,A,"Machado de Sant'Anna, Felipe "
ASCI,2130,Animals in Soc/Animal Welfare,12414,A,"Cardoso Costa, Joao H"
ASCI,2180,Appl Animal Health,12144,A,"Wadsworth, Stephen T."
ASCI,2300,CREAM 1,10225,A,"Wadsworth, Stephen T."
ASCI,2300,CREAM 1,10225,A,"Wadsworth, Stephen T."
ASCI,2400,Equus,10223,A,"Rohan, Christina Kaplan"
ASCI,2700,Wildlife Hlth & Consrvation,15267,A,"Collins, Courtney "
